minimal_Adj	minimal
minimum_Adj	minimum
minor_Adj	minor
miscellaneous_Adj	miscellaneous
misleading_Adj	misleading
mixed_Adj	mixed
modal_Adj	modal
modern_Adj	modern
modular_Adj	modular
modulo_Adj	modulo
molar_Adj	molar
molecular_Adj	molecular
monogenic_Adj	monogenic
monoidal_Adj	monoidal
monomial_Adj	monomial
monotone_Adj	monotone
monotonic_Adj	monotonic
more_Adj	more
most_Adj	most
motivic_Adj	motivic
multi_Adj	multi
multidimensional_Adj	multidimensional
multilinear_Adj	multilinear
multimagic_Adj	multimagic
multimodal_Adj	multimodal
multipartite_Adj	multipartite
multiple_Adj	multiple
multiplicative_Adj	multiplicative
multivariate_Adj	multivariate
musical_Adj	musical
mutual_Adj	mutual
naive_Adj	naive
nameless_Adj	nameless
national_Adj	national
natural_Adj	natural
necessary_Adj	necessary
neg_Adj	neg
negative_Adj	negative
negligible_Adj	negligible
neutral_Adj	neutral
new_Adj	new
next_Adj	next
nice_Adj	nice
nilpotent_Adj	nilpotent
noetherian_Adj	noetherian
nominative_Adj	nominative
'non-algebraic_Adj'	non-algebraic
'non-commutative_Adj'	non-commutative
'non-constant_Adj'	non-constant
'non-degenerate_Adj'	non-degenerate
'non-dependent_Adj'	non-dependent
'non-diagonalizable_Adj'	non-diagonalizable
'non-empty_Adj'	non-empty
'non-isomorphic_Adj'	non-isomorphic
'non-isotropic_Adj'	non-isotropic
'non-proportional_Adj'	non-proportional
'non-relational_Adj'	non-relational
'non-singular_Adj'	non-singular
'non-trivial_Adj'	non-trivial
'non-unit_Adj'	non-unit
'non-vanishing_Adj'	non-vanishing
'non-zero_Adj'	non-zero
nonabelian_Adj	nonabelian
nonassociative_Adj	nonassociative
noncentral_Adj	noncentral
noncoherent_Adj	noncoherent
noncommutative_Adj	noncommutative
nonelementary_Adj	nonelementary
nonempty_Adj	nonempty
nonfinite_Adj	nonfinite
nonhomogeneous_Adj	nonhomogeneous
nonisotropic_Adj	nonisotropic
nonlinear_Adj	nonlinear
nonsingular_Adj	nonsingular
nontrivial_Adj	nontrivial
nonzero_Adj	nonzero
normable_Adj	normable
normal_Adj	normal
normalizer_Adj	normalizer
normed_Adj	normed
notable_Adj	notable
nth_Adj	nth
nuclear_Adj	nuclear
nugatory_Adj	nugatory
null_Adj	null
nullary_Adj	nullary
numerical_Adj	numerical
oblivious_Adj	oblivious
observable_Adj	observable
observational_Adj	observational
obvious_Adj	obvious
octahedral_Adj	octahedral
odd_Adj	odd
old_Adj	old
oligomorphic_Adj	oligomorphic
online_Adj	online
only_Adj	only
open_Adj	open
opposite_Adj	opposite
optical_Adj	optical
optimal_Adj	optimal
orderable_Adj	orderable
ordered_Adj	ordered
ordinal_Adj	ordinal
ordinary_Adj	ordinary
orientable_Adj	orientable
oriented_Adj	oriented
original_Adj	original
orthocentric_Adj	orthocentric
orthodox_Adj	orthodox
orthogonal_Adj	orthogonal
orthomodular_Adj	orthomodular
orthonormal_Adj	orthonormal
other_Adj	other
outer_Adj	outer
outerplanar_Adj	outerplanar
own_Adj	own
'p-adic_Adj'	p-adic
pairwise_Adj	pairwise
palindromic_Adj	palindromic
pandiagonal_Adj	pandiagonal
parabolic_Adj	parabolic
parallel_Adj	parallel
parallelepiped_Adj	parallelepiped
parallelogram_Adj	parallelogram
parametric_Adj	parametric
parasitic_Adj	parasitic
paraxial_Adj	paraxial
partial_Adj	partial
particular_Adj	particular
pedagogical_Adj	pedagogical
pedestrian_Adj	pedestrian
pentagonal_Adj	pentagonal
perfect_Adj	perfect
periodic_Adj	periodic
perpendicular_Adj	perpendicular
perpetuant_Adj	perpetuant
personal_Adj	personal
perverse_Adj	perverse
phantom_Adj	phantom
philatelic_Adj	philatelic
phylogenetic_Adj	phylogenetic
physical_Adj	physical
piecewise_Adj	piecewise
plactic_Adj	plactic
plain_Adj	plain
planar_Adj	planar
plausible_Adj	plausible
pneumatic_Adj	pneumatic
pointed_Adj	pointed
